# u_torque_1, u_torque_2, u_torque_3, y_angle_1, y_angle_2, y_angle_3, y_vel_1, y_vel_2, y_vel_3
-6.921189972165771309e-02,5.898943968186701886e-02,-8.782007174243423864e-02,8.280601731372683183e-01,1.134558264731767574e+00,2.141105949227776417e+00,1.487299180340528326e-01,1.794289526747141705e+00,-4.360024694010715407e-02
-6.963508778229875185e-02,5.741380564203896197e-02,-8.874166126253762998e-02,8.282693977304076416e-01,1.136336673773452155e+00,2.141105949227776417e+00,2.156564045845050515e-01,1.723913414347196138e+00,-1.513285806914817146e-03
-7.008255672628223298e-02,5.596213987883227881e-02,-8.952651424223684318e-02,8.285134098652860990e-01,1.137975599753043632e+00,2.141071078462253308e+00,2.677877829228061390e-01,1.613435921595541833e+00,-1.140235194843561457e-02
-7.048472559481613886e-02,5.459410181617631308e-02,-9.029306439833907627e-02,8.287575884477327293e-01,1.139509913436065558e+00,2.141036207696730198e+00,2.632402966551891099e-01,1.478775677789207155e+00,-2.263201454493640047e-02
-7.099727561302440759e-02,5.290355613301961357e-02,-9.107810865879589768e-02,8.290713421136577388e-01,1.141113968650133925e+00,2.141001336931206644e+00,3.021709957777172217e-01,1.604014295707852700e+00,-1.667180454281635624e-02
-7.163152839581622688e-02,5.124238652447666437e-02,-9.171163181983948975e-02,8.294550037581972513e-01,1.142787765395248734e+00,2.140931595400160425e+00,3.956403211926258212e-01,1.637268439225615602e+00,-6.968396792913844617e-02
-7.216032331419129642e-02,4.948561287434685013e-02,-9.242523359775596525e-02,8.298384989551687019e-01,1.144531303671409983e+00,2.140861853869113762e+00,3.725547370245352874e-01,1.703524974314344576e+00,-7.446309372906970148e-02
-7.288093685789391596e-02,4.779122093571384899e-02,-9.322589200200390169e-02,8.302919021307546554e-01,1.146274841947571232e+00,2.140826983103590653e+00,4.741411555119146026e-01,1.693630359920552886e+00,-3.611912228419967424e-02
-7.348221135760071854e-02,4.624594664491445822e-02,-9.381220152149678804e-02,8.307451388587725472e-01,1.147913767927162709e+00,2.140722370807020880e+00,4.453138237748746064e-01,1.594096794773443015e+00,-7.908756199694688682e-02
-7.405181244305307497e-02,4.458030816900102750e-02,-9.451378392660113315e-02,8.311635880450511937e-01,1.149552693906754408e+00,2.140652629275974661e+00,4.014500348518950656e-01,1.601203412401058124e+00,-6.460107531737002695e-02
-7.468217690906121808e-02,4.278401873162512165e-02,-9.511106418785447714e-02,8.315820372313298403e-01,1.151261361417392326e+00,2.140548016979404888e+00,4.071737506009637797e-01,1.676450196763406231e+00,-8.490698509769034619e-02
-7.520572931156191410e-02,4.081581092603588090e-02,-9.564786209250307480e-02,8.319307448865621568e-01,1.153109511990123348e+00,2.140408533917312006e+00,3.507223643381565115e-01,1.812324120754021939e+00,-1.179953745788571151e-01
-7.559787511089699485e-02,3.884145810886492634e-02,-9.616738711502992309e-02,8.321749234690087871e-01,1.155027404093900589e+00,2.140269050855219124e+00,2.353533936780833336e-01,1.891915880176096021e+00,-1.508840269782679711e-01
-7.594842717377398023e-02,3.700366616666806580e-02,-9.676741730073079584e-02,8.323144065311016693e-01,1.156910425432154943e+00,2.140129567793126242e+00,1.510372974472543040e-01,1.845799500831090789e+00,-1.345936647790827445e-01
-7.617614195368639651e-02,3.527191836877176245e-02,-9.722261875994181457e-02,8.323491940728409144e-01,1.158688834473839302e+00,2.139955213965510250e+00,1.655737183972701490e-02,1.753368392122392594e+00,-1.729882640259256255e-01
-7.639233876959058978e-02,3.344283320468663390e-02,-9.773377206315199406e-02,8.323144065311016693e-01,1.160467243515523883e+00,2.139571635544754713e+00,-8.483416428663348441e-02,1.744839341318800585e+00,-1.743149898502281414e-01
-7.655978632329807354e-02,3.137119704845318935e-02,-9.810263211494418822e-02,8.321749234690087871e-01,1.162385135619301124e+00,2.139571635544754713e+00,-1.622406058454678446e-01,1.867857964797512871e+00,-2.289035504130476906e-01
-7.671076566119930384e-02,2.926862030572242868e-02,-9.848355554519772070e-02,8.319656988758694638e-01,1.164372769254125028e+00,2.139083444827429403e+00,-2.113100424617117001e-01,1.959709281143891424e+00,-1.984817896796294834e-01
-7.694974928968537076e-02,2.733030436902428306e-02,-9.884238947719845014e-02,8.317913450482533610e-01,1.166325532123425601e+00,2.139083444827429403e+00,-2.112233510199773567e-01,1.898503042684838382e+00,-2.918505530221262578e-01
-7.725329791224026799e-02,2.535020648103593691e-02,-9.911872332743848490e-02,8.316169912206372583e-01,1.168243424227203064e+00,2.138769607937720529e+00,-1.574843665861544728e-01,1.890370691918622725e+00,-3.386486738649301942e-01
-7.762806356150009357e-02,2.333242519261419581e-02,-9.935326567344290871e-02,8.315123789240674856e-01,1.170161316330980306e+00,2.138386029516964992e+00,-9.919304116397738291e-02,1.906898935433926745e+00,-3.794914394263511070e-01
-7.809880884628060682e-02,2.107767798182762914e-02,-9.936397621081888287e-02,8.314775081585442651e-01,1.172218691496850651e+00,2.137897838799639683e+00,-1.154313884981219770e-02,2.049833010439388037e+00,-4.966323831554745327e-01
-7.849803734253946175e-02,1.884217766501031233e-02,-9.914258971510370166e-02,8.314426373930210445e-01,1.174345808193767438e+00,2.137235294254698381e+00,-6.191849534434228780e-03,2.111886050901302436e+00,-6.767251842144135221e-01
-7.912492900526710282e-02,1.668504830323000107e-02,-9.875802381990542167e-02,8.315472496895908172e-01,1.176472924890684002e+00,2.136398395882141088e+00,1.045027185873228653e-01,2.082865917397844768e+00,-8.852728905767019985e-01
-7.972559984130873911e-02,1.452209950549922420e-02,-9.829302498184766534e-02,8.316867327516835884e-01,1.178565170822077679e+00,2.135352272916444250e+00,1.503971678414878499e-01,2.071491306710763869e+00,-1.072151897694605838e+00
-8.031074785236975988e-02,1.212947643109008738e-02,-9.768558423800818846e-02,8.318262158137765816e-01,1.180762029050040685e+00,2.134096925357608310e+00,1.701392364847679473e-01,2.204103551897566238e+00,-1.268339485060177685e+00
-8.091861436591984980e-02,9.655743304788470122e-03,-9.704051462934625005e-02,8.320004864176085979e-01,1.183098370340096794e+00,2.132667223971155934e+00,1.741957024264016995e-01,2.307859337022906576e+00,-1.430125134219423444e+00
-8.153321459335478860e-02,7.338835799928626960e-03,-9.649301834413337442e-02,8.321749234690087871e-01,1.185399840864629795e+00,2.131132910288134230e+00,1.743364893277782601e-01,2.267006862020011226e+00,-1.507326983975764811e+00
-8.207563312269681999e-02,5.162347441302222485e-03,-9.601199567487200826e-02,8.323144065311016693e-01,1.187596699092592800e+00,2.129598596605112082e+00,1.198027177561348661e-01,2.146913554551182823e+00,-1.541637376019619143e+00
-8.270095875865766943e-02,3.062943322330063944e-03,-9.549116400782291236e-02,8.324538895931945515e-01,1.189654074258463146e+00,2.127994541391044159e+00,1.377825227718391110e-01,2.035471359435908401e+00,-1.568757233120259276e+00
-8.320215464572543185e-02,8.654115026516685100e-04,-9.443468695076177866e-02,8.325236311242409926e-01,1.191711449424333491e+00,2.126216132349359356e+00,7.709712649472620638e-02,2.010407129801673243e+00,-1.810452279144093790e+00
-8.369412587885995125e-02,-1.284170443338479919e-03,-9.345920970233929925e-02,8.325584186659802377e-01,1.193733953824680505e+00,2.124263369480059005e+00,2.488876615616500768e-02,1.950211366787476086e+00,-1.958406135391741021e+00
-8.419663242165839612e-02,-3.231185625300345490e-03,-9.247485069959504589e-02,8.325584186659802377e-01,1.195582104397411527e+00,2.122171123548665328e+00,8.537373181998808612e-04,1.798069273606759166e+00,-2.066289126675169285e+00
-8.473246266505671254e-02,-5.035644570082336083e-03,-9.159987402316142890e-02,8.325584186659802377e-01,1.197255901142526113e+00,2.120044006851748541e+00,2.219300908399365432e-05,1.614160662048440997e+00,-2.101139779783911976e+00
-8.527914838415054377e-02,-6.971476510576194927e-03,-9.065591635449754548e-02,8.325584186659802377e-01,1.198859956356594481e+00,2.117882019389308645e+00,0.000000000000000000e+00,1.599360699115552675e+00,-2.152162894731081355e+00
-8.578575514627770349e-02,-8.911475880177930839e-03,-8.929634996103780198e-02,8.325236311242409926e-01,1.200464011570662848e+00,2.115545678099252758e+00,-2.224086275983101768e-02,1.577824464394138593e+00,-2.357830364633187514e+00
-8.637378730990273590e-02,-1.096216740367249656e-02,-8.791588814242667915e-02,8.325236311242409926e-01,1.202102937550254547e+00,2.113034982981580434e+00,-7.774488494736526891e-04,1.631851957946053311e+00,-2.520819984535239922e+00
-8.695090692187468218e-02,-1.299073792038657298e-02,-8.672804403180454924e-02,8.325236311242409926e-01,1.203776734295369355e+00,2.110454546332861891e+00,-3.675717129536448330e-05,1.628819838079952786e+00,-2.560568357336206802e+00
-8.753703572308542402e-02,-1.486808321090282714e-02,-8.555467705478048135e-02,8.325236311242409926e-01,1.205345918743914391e+00,2.107839238918619795e+00,-1.387063067749603268e-05,1.537456767933421675e+00,-2.574909202393669716e+00
-8.816872201581638091e-02,-1.676015444268949203e-02,-8.109477141282261936e-02,8.325584186659802377e-01,1.206880232426936317e+00,2.101334301508533287e+00,8.094900063386685149e-03,1.475094412407399469e+00,-3.250711989668030100e+00
-8.888878000767079512e-02,-1.888638943910773971e-02,-8.122025427757173510e-02,8.326281601970266788e-01,1.208484287641004684e+00,2.098335415673535653e+00,6.705825754188844690e-02,1.588146294212797294e+00,-3.250711989668030100e+00
-8.948898962439272298e-02,-2.120754174694726088e-02,-7.860269068207348386e-02,8.326631141863339858e-01,1.210262696682689043e+00,2.095231917541968691e+00,2.453922626309210792e-02,1.764346302772096919e+00,-3.087358959242226586e+00
-9.018212996550845073e-02,-2.355347015999519414e-02,-7.705226291834910146e-02,8.327328557173803159e-01,1.212145718020943397e+00,2.091954065582785738e+00,3.774892138880545089e-02,1.882585800450877977e+00,-3.087358959242226586e+00
-9.090398629471671543e-02,-2.582759122046825173e-02,-7.521783340224286185e-02,8.328025972484268680e-01,1.214063610124720638e+00,2.088711084389125894e+00,7.039691834596174813e-02,1.895318345881285449e+00,-3.228939260693564073e+00
